state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Oregon,OR,OR-06,6,324,494637,394367,58903,7754,19246,9762,2104,
Pennsylvania,PA,PA-01,1,325,567849,494663,20519,22312,27669,1912,108,
Pennsylvania,PA,PA-02,2,326,527096,238209,111007,135530,38209,2774,110,
Pennsylvania,PA,PA-03,3,327,562886,198822,22683,310855,25843,3566,166,
Pennsylvania,PA,PA-04,4,328,566361,473580,21300,45881,23213,1829,109,
Pennsylvania,PA,PA-05,5,329,542710,367398,18236,127101,26158,2531,251,
Pennsylvania,PA,PA-06,6,330,534907,426664,55429,34249,15874,1990,95,
Pennsylvania,PA,PA-07,7,331,564439,440344,78832,29278,13032,2121,172,
Pennsylvania,PA,PA-08,8,332,576168,480433,49157,33896,9174,2483,322,
Pennsylvania,PA,PA-09,9,333,605356,559314,22786,15701,4322,3038,205,
Pennsylvania,PA,PA-10,10,334,560108,451360,33587,57260,15105,2482,18,
Pennsylvania,PA,PA-11,11,335,564660,494655,38475,19302,9320,2186,127,
Pennsylvania,PA,PA-12,12,336,595526,479685,11025,88257,13262,3194,101,
Pennsylvania,PA,PA-13,13,337,599333,565098,11618,15891,3651,2694,104,
Pennsylvania,PA,PA-14,14,338,618051,583558,6291,21557,3760,2817,91,
Pennsylvania,PA,PA-15,15,339,617056,580838,10977,16054,6195,3010,62,
Pennsylvania,PA,PA-16,16,340,598771,553937,10460,26216,5171,2706,110,
Pennsylvania,PA,PA-17,17,341,577640,513917,7425,44382,9517,2133,227,
Rhode Island,RI,RI-01,1,342,386029,292139,48713,29490,11567,3498,230,
Rhode Island,RI,RI-02,2,343,409036,339490,38056,17322,10551,3396,284,
South Carolina,SC,SC-01,1,344,546401,406294,20951,104048,10229,4154,239,
South Carolina,SC,SC-02,2,345,547091,371620,18629,142020,9033,4665,337,
South Carolina,SC,SC-03,3,346,554040,427399,13521,104336,4583,3336,114,
South Carolina,SC,SC-04,4,347,519888,378391,21463,104953,10999,3125,687,
South Carolina,SC,SC-05,5,348,539949,375641,14667,137887,6330,5139,82,
South Carolina,SC,SC-06,6,349,573216,260435,12602,288801,5944,4558,190,
South Carolina,SC,SC-07,7,350,569136,393440,10793,153343,5328,5828,135,
South Dakota,SD,SD-AL,0,351,644872,561189,15691,9387,5556,52469,252,
